_id,chTitle,id,subscriberCount,uploads,videoCount,viewCount
64121d5f8e1af74d0e3c7bac,BE:FIRST Official,UCi_AquB9uaI3-9xXkuWG7IQ,260000,UUi_AquB9uaI3-9xXkuWG7IQ,262,312561033
64121d5f8e1af74d0e3c7bad,Ram Suchiang & The Band Official,UCoKRgkk6SXchM_7UwMnSWHA,3260,UUoKRgkk6SXchM_7UwMnSWHA,2,87488
64121d5f8e1af74d0e3c7bae,Fogi,UCi36VY1krqGbgpWvTq4IXJw,11,UUi36VY1krqGbgpWvTq4IXJw,21,746
64121d5f8e1af74d0e3c7baf,LiveOn~,UCsR9MoKqURMcHyNV72T938g,1090,UUsR9MoKqURMcHyNV72T938g,0,0
64121d5f8e1af74d0e3c7bb0,DAX -Space Shower Digital Archives X-,UC_YARi5VMmOdHGDRU3PXE0g,110000,UU_YARi5VMmOdHGDRU3PXE0g,1795,118678194
64121d5f8e1af74d0e3c7bb1,UNIVERSAL MUSIC JAPAN,UCl2aT0nRejTCQO_LHZAftBw,4510000,UUl2aT0nRejTCQO_LHZAftBw,7321,-853340235
64121d5f8e1af74d0e3c7bb2,SHISE Official,UCT-fK1Gh8vsVnM4JXAgrwKw,3370,UUT-fK1Gh8vsVnM4JXAgrwKw,6,1759716
64121d5f8e1af74d0e3c7bb3,jon -YAKITORY,UCENRrmGuopCcwwi2jW00LDQ,101000,UUENRrmGuopCcwwi2jW00LDQ,69,36387762
64121d5f8e1af74d0e3c7bb4,GOINGUNDERGROUND official,UC3D_CtVUNLoLHzn05Fjf8ew,6070,UU3D_CtVUNLoLHzn05Fjf8ew,50,1870798
64121d5f8e1af74d0e3c7bb5,Kustom Media,UCcohUQablSkvFr-2FzmP8jw,141,UUcohUQablSkvFr-2FzmP8jw,11,60191
64121d5f8e1af74d0e3c7bb6,GLAY,UC1DqlLj1onQhBfxW81OgQTw,391000,UU1DqlLj1onQhBfxW81OgQTw,555,459048093
