_id,chTitle,id,subscriberCount,uploads,videoCount,viewCount
6412243a8e1af74d0e3c7d54,Bernsoft Group,UCvA9y3H3KY1hZrb2ArZtyPw,7500,UUvA9y3H3KY1hZrb2ArZtyPw,25,3611532
6412243a8e1af74d0e3c7d55,Fogi,UCi36VY1krqGbgpWvTq4IXJw,10,UUi36VY1krqGbgpWvTq4IXJw,21,746
6412243a8e1af74d0e3c7d56,LiveOn~,UCsR9MoKqURMcHyNV72T938g,1090,UUsR9MoKqURMcHyNV72T938g,0,0
6412243a8e1af74d0e3c7d57,Polly Karera,UCAg_OXR5FngnwSGOvpEbT2g,1390,UUAg_OXR5FngnwSGOvpEbT2g,11,24487
6412243a8e1af74d0e3c7d58,Godokawa Yuu,UCHTPudZ5dvzR5slYPB06r4w,46,UUHTPudZ5dvzR5slYPB06r4w,3,12837
6412243a8e1af74d0e3c7d59,Kustom Media,UCcohUQablSkvFr-2FzmP8jw,141,UUcohUQablSkvFr-2FzmP8jw,11,60194
6412243a8e1af74d0e3c7d5a,Naoko Gushima 具島直子,UCGZ6kPIBR82YJeh95B_W9kQ,3630,UUGZ6kPIBR82YJeh95B_W9kQ,62,1131987
6412243a8e1af74d0e3c7d5b,NIMATUNE,UChB62a22aFhMU7UflGXG54w,497,UUhB62a22aFhMU7UflGXG54w,26,191231
6412243a8e1af74d0e3c7d5c,Araboss Films,UCA1UNDbanmtIhvifcS2g7PQ,537,UUA1UNDbanmtIhvifcS2g7PQ,64,105216
6412243a8e1af74d0e3c7d5d,NEO TUBE,UCWFOIkVtnTDdco3szIRoboA,2350,UUWFOIkVtnTDdco3szIRoboA,277,874693
6412243a8e1af74d0e3c7d5e,THE FIRST TAKE,UC9zY_E8mcAo_Oq772LEZq8Q,7530000,UU9zY_E8mcAo_Oq772LEZq8Q,551,-1423890221
6412243a8e1af74d0e3c7d5f,MISIA,UCzPBIyFM_VyXgG9At-1Il4Q,565000,UUzPBIyFM_VyXgG9At-1Il4Q,179,464736858
6412243a8e1af74d0e3c7d60,GLAY,UC1DqlLj1onQhBfxW81OgQTw,392000,UU1DqlLj1onQhBfxW81OgQTw,556,459770130
6412243a8e1af74d0e3c7d61,jon -YAKITORY,UCENRrmGuopCcwwi2jW00LDQ,102000,UUENRrmGuopCcwwi2jW00LDQ,69,36504700
6412243a8e1af74d0e3c7d62,『ユイカ』,UC2iRI4qf-H_BdpsS8mMEjZQ,556000,UU2iRI4qf-H_BdpsS8mMEjZQ,92,144923878
6412243a8e1af74d0e3c7d63,邦楽Tube,UCBd4CiUqnpIfeidMsQaVLRw,2,UUBd4CiUqnpIfeidMsQaVLRw,1,80
6412243a8e1af74d0e3c7d64,InsideOutMusicTV,UC7Rl9oJzj7udPdl2oPT1SkQ,191000,UU7Rl9oJzj7udPdl2oPT1SkQ,1381,145842323
6412243a8e1af74d0e3c7d65,DJSnakeVEVO,UCGkSXL5saM8y3VvJD_PdMFQ,6510000,UUGkSXL5saM8y3VvJD_PdMFQ,58,-1231120311
6412243a8e1af74d0e3c7d66,Ram Suchiang & The Band Official,UCoKRgkk6SXchM_7UwMnSWHA,3320,UUoKRgkk6SXchM_7UwMnSWHA,2,91151
6412243a8e1af74d0e3c7d67,avex,UC1oPBUWifc0QOOY8DEKhLuQ,5940000,UU1oPBUWifc0QOOY8DEKhLuQ,15204,960623340
6412243a8e1af74d0e3c7d68,DrowningBoy,UCv1eL-RnI44rlQIc5QLAt0Q,164,UUv1eL-RnI44rlQIc5QLAt0Q,4,8301
6412243a8e1af74d0e3c7d69,"Rock N' LivesDX",UCUp6H8pVXvv1xPjZ2Yf9LYA,4630,UUUp6H8pVXvv1xPjZ2Yf9LYA,38,6882316
6412243a8e1af74d0e3c7d6a,UNIVERSAL MUSIC JAPAN,UCl2aT0nRejTCQO_LHZAftBw,4510000,UUl2aT0nRejTCQO_LHZAftBw,7325,-851992877
6412243a8e1af74d0e3c7d6b,GENERATIONS from EXILE TRIBE,UCol0rStOtRpw-9sz0R7cuWQ,9110,UUol0rStOtRpw-9sz0R7cuWQ,146,90546254
6412243a8e1af74d0e3c7d6c,SARA-J Official,UCiOkbKW9JC0S1xWWPS37yig,782,UUiOkbKW9JC0S1xWWPS37yig,9,47006
6412243a8e1af74d0e3c7d6d,SHISE Official,UCT-fK1Gh8vsVnM4JXAgrwKw,3370,UUT-fK1Gh8vsVnM4JXAgrwKw,6,1762414
6412243a8e1af74d0e3c7d6e,DAX -Space Shower Digital Archives X-,UC_YARi5VMmOdHGDRU3PXE0g,110000,UU_YARi5VMmOdHGDRU3PXE0g,1795,118754752
